world	node	child	value	prob	N
lab	N4538173	N63617	21.72727	0.62	50
roomG	N8317607	N1983096	21.900002	0.9696969697	33
library	N2272684	N1620555	22.166666	0	126
ikea	N4631048	N6560058	22.166668	0	107
garden	N8246099	N7340845	22.222221	0.9850746269	67
garden	N8246099	N7102836	22.222225	0	67
tworooms	N1738800	N7295169	22.428572	0.6666666667	33
ikea	N2396034	N5268104	22.5	1	2
cubicles	N8892822	N5568770	22.5	0	46
tworooms	N6388298	N3112363	22.571428	0.53125	32
roomG	N5279315	N6566182	22.571428	0	2
tworooms	N1738800	N5180650	22.714287	0.3333333333	33
museum	N4337909	N3311969	22.75	0.9142857143	35
lab	N3633749	N9315520	22.88889	0	49
lab	N63617	N5745806	22.9	1	49
garden	N8246099	N4984823	23.111113	0.0149253731	67
ikea	N4631048	N5861572	23.166666	0.0280373832	107
museum	N3878259	N2766129	23.300001	0.0263157895	38
ikea	N2396034	N239392	23.5	0	2
ikea	N234416	N6099980	23.666666	0.0434782609	23
ikea	N234416	N9299941	23.666666	0.0434782609	23
lab	N63617	N242960	23.7	0	49
lab	N3633749	N752499	23.777777	0	49
lab	N3633749	N2601690	23.777779	1	49
lab	N3633749	N9447532	23.777779	0	49
lab	N63617	N2927853	23.9	0	49
roomG	N8317607	N940315	23.900002	0.0303030303	33
library	N9747004	N1647237	24	0	37
lab	N5745806	N1113507	24.222221	0.612244898	49
lab	N5745806	N9798875	24.222223	0.1020408163	49
garden	N1289190	N3717284	24.428572	0	2
lab	N63617	N6241308	24.5	0	49
museum	N4337909	N4708138	24.75	0.0857142857	35
cubicles	N9981263	N2381213	24.999998	0.023255814	43
lab	N5745806	N7444307	25.11111	0.2857142857	49
lab	N2601690	N1930098	25.25	0.1836734694	49
museum	N8235434	N9086861	25.25	1	3
lab	N2601690	N7646124	26.249998	0.3469387755	49
lab	N2601690	N124975	26.25	0.4693877551	49
museum	N8235434	N1421546	26.25	0	3
garden	N1289190	N2798849	26.714287	0	2
garden	N1289190	N2469465	27.285715	1	2
