world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/cathedral	(0,0)	N1104	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	15	24
E2Maps/cathedral	(0,2)	N2825	N1104	p(0,0);p(0,1);p(0,2);	1	10.0	2	2	FALSE	2.2916667	35	14
E2Maps/cathedral	(3,2)	N8121	N2825	p(0,2);p(1,2);p(2,2);p(3,2);	2	4.0	3	5	FALSE	3.4583335	8	10
E2Maps/cathedral	(3,0)	N589	N8121	p(3,2);p(3,1);p(3,0);	3	4.0	2	7	FALSE	4.916667	7	6
E2Maps/cathedral	(3,5)	N8139	N8121	p(3,2);p(3,3);p(3,4);p(3,5);	3	4.0	3	8	FALSE	5.0833335	7	6
E2Maps/cathedral	(6,0)	N7314	N589	p(3,0);p(4,0);p(5,0);p(6,0);	4	1.0	3	10	FALSE	5.3750005	1	5
E2Maps/cathedral	(3,5)	N9196	N589	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	4	4.0	5	12	FALSE	7.208334	7	2
E2Maps/cathedral	(6,5)	N9619	N8139	p(3,5);p(4,5);p(5,5);p(6,5);	4	1.0	3	11	FALSE	5.5833335	1	5
E2Maps/cathedral	(3,0)	N8875	N8139	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	4	4.0	5	13	FALSE	7.541667	7	2
E2Maps/cathedral	(3,5)	N7282	N7314	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	5	4.0	8	18	FALSE	8.666667	7	1
E2Maps/cathedral	(6,5)	N8178	N9196	p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	3	15	FALSE	7.8750005	1	1
E2Maps/cathedral	(6,0)	N6670	N9196	p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	8	20	FALSE	8.083334	1	1
E2Maps/cathedral	(3,0)	N7323	N9619	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);	5	4.0	8	19	FALSE	9.041667	7	1
E2Maps/cathedral	(6,0)	N4390	N8875	p(3,0);p(4,0);p(5,0);p(6,0);	5	1.0	3	16	FALSE	8.25	1	1
E2Maps/cathedral	(6,5)	N8482	N8875	p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	5	1.0	8	21	FALSE	8.458334	1	1
E2Maps/cathedral	(6,5)	N5010	N7282	p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	3	21	TRUE	9.583334	1	0
E2Maps/cathedral	(6,0)	N2509	N8178	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	26	TRUE	9.0	1	0
E2Maps/cathedral	(6,5)	N5777	N6670	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	31	TRUE	9.416667	1	0
E2Maps/cathedral	(6,0)	N6201	N7323	p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	3	22	TRUE	10.0	1	0
E2Maps/cathedral	(6,5)	N2100	N4390	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(6,5);	6	1.0	11	27	TRUE	9.416667	1	0
E2Maps/cathedral	(6,0)	N3666	N8482	p(6,5);p(5,5);p(4,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);	6	1.0	11	32	TRUE	9.833334	1	0
