world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/library	(0,0)	N3151	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	4	24
E2Maps/library	(1,0)	N8688	N3151	p(0,0);p(1,0);	1	4.0	1	1	FALSE	0.75	14	20
E2Maps/library	(1,3)	N1452	N8688	p(1,0);p(1,1);p(1,2);p(1,3);	2	5.0	3	4	FALSE	2.2083335	15	15
E2Maps/library	(1,4)	N8106	N1452	p(1,3);p(1,4);	3	2.0	1	5	FALSE	2.7500002	3	13
E2Maps/library	(3,3)	N54	N1452	p(1,3);p(2,3);p(3,3);	3	4.0	2	6	FALSE	3.4583335	6	11
E2Maps/library	(3,3)	N3650	N8106	p(1,4);p(1,3);p(2,3);p(3,3);	4	4.0	3	8	FALSE	4.3333335	6	9
E2Maps/library	(6,3)	N4714	N54	p(3,3);p(4,3);p(5,3);p(6,3);	4	5.0	3	9	FALSE	5.7083335	9	6
E2Maps/library	(1,4)	N1420	N54	p(3,3);p(2,3);p(1,3);p(1,4);	4	2.0	3	9	FALSE	4.3333335	3	9
E2Maps/library	(6,3)	N4693	N3650	p(3,3);p(4,3);p(5,3);p(6,3);	5	5.0	3	11	FALSE	7.0	9	4
E2Maps/library	(6,4)	N3570	N4714	p(6,3);p(6,4);	5	2.0	1	10	FALSE	6.666667	3	4
E2Maps/library	(6,1)	N3348	N4714	p(6,3);p(6,2);p(6,1);	5	2.0	2	11	FALSE	6.75	3	4
E2Maps/library	(1,4)	N7197	N4714	p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	5	2.0	6	15	FALSE	7.0833335	3	4
E2Maps/library	(6,3)	N628	N1420	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	5	5.0	6	15	FALSE	7.8333335	9	4
E2Maps/library	(6,4)	N4422	N4693	p(6,3);p(6,4);	6	2.0	1	12	FALSE	8.125	3	2
E2Maps/library	(6,1)	N500	N4693	p(6,3);p(6,2);p(6,1);	6	2.0	2	13	FALSE	8.208333	3	2
E2Maps/library	(6,1)	N8310	N3570	p(6,4);p(6,3);p(6,2);p(6,1);	6	2.0	3	13	FALSE	7.8750005	3	2
E2Maps/library	(1,4)	N3015	N3570	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2.0	7	17	FALSE	8.208334	3	2
E2Maps/library	(6,4)	N8906	N3348	p(6,1);p(6,2);p(6,3);p(6,4);	6	2.0	3	14	FALSE	8.041667	3	2
E2Maps/library	(1,4)	N9384	N3348	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	6	2.0	8	19	FALSE	8.458333	3	2
E2Maps/library	(6,4)	N2604	N7197	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	6	2.0	7	22	FALSE	9.041667	3	2
E2Maps/library	(6,1)	N125	N7197	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	6	2.0	8	23	FALSE	9.125	3	2
E2Maps/library	(6,4)	N3428	N628	p(6,3);p(6,4);	6	2.0	1	16	FALSE	9.291667	3	2
E2Maps/library	(6,1)	N9932	N628	p(6,3);p(6,2);p(6,1);	6	2.0	2	17	FALSE	9.375	3	2
E2Maps/library	(6,1)	N6940	N4422	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	15	TRUE	9.5	3	0
E2Maps/library	(6,4)	N4478	N500	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	16	TRUE	9.666666	3	0
E2Maps/library	(1,4)	N5359	N8310	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2.0	8	21	TRUE	9.75	3	0
E2Maps/library	(6,1)	N7821	N3015	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);	7	2.0	8	25	TRUE	10.416667	3	0
E2Maps/library	(1,4)	N6836	N8906	p(6,4);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);	7	2.0	7	21	TRUE	9.916667	3	0
E2Maps/library	(6,4)	N3970	N9384	p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	7	2.0	7	26	TRUE	10.75	3	0
E2Maps/library	(6,1)	N5354	N2604	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	25	TRUE	11.25	3	0
E2Maps/library	(6,4)	N877	N125	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	26	TRUE	11.416667	3	0
E2Maps/library	(6,1)	N5533	N3428	p(6,4);p(6,3);p(6,2);p(6,1);	7	2.0	3	19	TRUE	11.0	3	0
E2Maps/library	(6,4)	N4594	N9932	p(6,1);p(6,2);p(6,3);p(6,4);	7	2.0	3	20	TRUE	11.166667	3	0
