world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/labyrinth3	(0,0)	N4822	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	6	22
E2Maps/labyrinth3	(3,0)	N1266	N4822	p(0,0);p(1,0);p(2,0);p(3,0);	1	5.0	3	3	FALSE	1.3636364	15	17
E2Maps/labyrinth3	(3,3)	N7328	N1266	p(3,0);p(3,1);p(3,2);p(3,3);	2	6.0	3	6	FALSE	3.5454545	12	11
E2Maps/labyrinth3	(3,5)	N2268	N7328	p(3,3);p(3,4);p(3,5);	3	5.0	2	8	FALSE	5.772727	9	6
E2Maps/labyrinth3	(5,3)	N5327	N7328	p(3,3);p(4,3);p(5,3);	3	4.0	2	8	FALSE	5.3636365	8	7
E2Maps/labyrinth3	(1,3)	N2987	N7328	p(3,3);p(2,3);p(1,3);	3	2.0	2	8	FALSE	4.409091	3	9
E2Maps/labyrinth3	(5,3)	N6947	N2268	p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	8.318182	8	2
E2Maps/labyrinth3	(1,3)	N4978	N2268	p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);	4	2.0	4	12	FALSE	7.0	3	4
E2Maps/labyrinth3	(3,5)	N1070	N5327	p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	8.5	9	2
E2Maps/labyrinth3	(1,3)	N4338	N5327	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	2.0	4	12	FALSE	6.590909	3	5
E2Maps/labyrinth3	(3,5)	N1892	N2987	p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	4	5.0	4	12	FALSE	7.545455	9	4
E2Maps/labyrinth3	(5,3)	N6758	N2987	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4.0	4	12	FALSE	6.9545455	8	5
E2Maps/labyrinth3	(1,3)	N9647	N6947	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	2.0	4	16	TRUE	9.909091	3	0
E2Maps/labyrinth3	(5,3)	N9177	N4978	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	5	4.0	4	16	TRUE	10.272727	8	0
E2Maps/labyrinth3	(1,3)	N923	N1070	p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);	5	2.0	4	16	TRUE	10.090909	3	0
E2Maps/labyrinth3	(3,5)	N5262	N4338	p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	5	5.0	4	16	TRUE	10.636364	9	0
E2Maps/labyrinth3	(5,3)	N4675	N1892	p(3,5);p(3,4);p(3,3);p(4,3);p(5,3);	5	4.0	4	16	TRUE	10.818182	8	0
E2Maps/labyrinth3	(3,5)	N2890	N6758	p(5,3);p(4,3);p(3,3);p(3,4);p(3,5);	5	5.0	4	16	TRUE	11.0	9	0
