world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/garden	(0,0)	N9899	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	3	26
E2Maps/garden	(0,2)	N388	N9899	p(0,0);p(0,1);p(0,2);	1	7.0	2	2	FALSE	1.6153846	28	19
E2Maps/garden	(2,2)	N3462	N388	p(0,2);p(1,2);p(2,2);	2	5.0	2	4	FALSE	2.7307692	9	14
E2Maps/garden	(2,4)	N3033	N3462	p(2,2);p(2,3);p(2,4);	3	4.0	2	6	FALSE	3.8846154	6	10
E2Maps/garden	(2,0)	N6441	N3462	p(2,2);p(2,1);p(2,0);	3	2.0	2	6	FALSE	3.3076923	3	12
E2Maps/garden	(5,2)	N692	N3462	p(2,2);p(3,2);p(4,2);p(5,2);	3	3.0	3	7	FALSE	3.7692308	6	11
E2Maps/garden	(2,0)	N2044	N3033	p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	4	2.0	4	10	FALSE	4.769231	3	8
E2Maps/garden	(5,2)	N532	N3033	p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	4	3.0	5	11	FALSE	5.3846154	6	7
E2Maps/garden	(2,4)	N3222	N6441	p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	4	4.0	4	10	FALSE	5.076923	6	8
E2Maps/garden	(5,2)	N656	N6441	p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	4	3.0	5	11	FALSE	4.8076925	6	9
E2Maps/garden	(5,4)	N5677	N692	p(5,2);p(5,3);p(5,4);	4	2.0	2	9	FALSE	4.5769234	3	9
E2Maps/garden	(7,2)	N4651	N692	p(5,2);p(6,2);p(7,2);	4	2.0	2	9	FALSE	4.5769234	3	9
E2Maps/garden	(2,4)	N9715	N692	p(5,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);	4	4.0	5	12	FALSE	5.846154	6	7
