world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromParent	isLeaf	nodeValue	nodeEP	blackremains
E2Maps/museum	(0,0)	N6665	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	3	26
E2Maps/museum	(2,0)	N4368	N6665	p(0,0);p(1,0);p(2,0);	1	5.0	2	2	FALSE	0.96153843	15	21
E2Maps/museum	(2,1)	N3808	N4368	p(2,0);p(2,1);	2	2.0	1	3	FALSE	1.3076923	3	19
E2Maps/museum	(4,1)	N8301	N3808	p(2,1);p(3,1);p(4,1);	3	5.0	2	5	FALSE	2.6923077	11	14
E2Maps/museum	(2,4)	N3961	N3808	p(2,1);p(2,2);p(2,3);p(2,4);	3	4.0	3	6	FALSE	2.5384617	8	15
E2Maps/museum	(4,0)	N651	N8301	p(4,1);p(4,0);	4	2.0	1	6	FALSE	3.2692308	3	12
E2Maps/museum	(4,4)	N1222	N8301	p(4,1);p(4,2);p(4,3);p(4,4);	4	4.0	3	8	FALSE	4.230769	8	10
E2Maps/museum	(2,4)	N4326	N8301	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	4	4.0	5	10	FALSE	4.5384617	8	10
E2Maps/museum	(0,4)	N6042	N3961	p(2,4);p(1,4);p(0,4);	4	2.0	2	8	FALSE	3.2692308	3	13
E2Maps/museum	(4,1)	N9753	N3961	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	4	5.0	5	11	FALSE	5.0769234	11	10
E2Maps/museum	(4,4)	N1342	N651	p(4,0);p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	4	10	FALSE	5.1153846	8	8
E2Maps/museum	(2,4)	N9638	N651	p(4,0);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4.0	6	12	FALSE	5.423077	8	8
E2Maps/museum	(6,4)	N4585	N1222	p(4,4);p(5,4);p(6,4);	5	2.0	2	10	FALSE	5.1153846	3	8
E2Maps/museum	(4,0)	N2372	N1222	p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);	5	2.0	4	12	FALSE	5.269231	3	8
E2Maps/museum	(2,4)	N3964	N1222	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	5	4.0	8	16	FALSE	7.0	8	6
E2Maps/museum	(0,4)	N9548	N4326	p(2,4);p(1,4);p(0,4);	5	2.0	2	12	FALSE	5.5769234	3	8
E2Maps/museum	(4,0)	N8513	N4326	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);	5	2.0	6	16	FALSE	5.8846154	3	8
E2Maps/museum	(4,4)	N2552	N4326	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	8	18	FALSE	7.615385	8	6
E2Maps/museum	(4,1)	N6726	N6042	p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	5	5.0	7	15	FALSE	6.5769234	11	8
E2Maps/museum	(4,0)	N4337	N9753	p(4,1);p(4,0);	5	2.0	1	12	FALSE	6.115385	3	8
E2Maps/museum	(4,4)	N5677	N9753	p(4,1);p(4,2);p(4,3);p(4,4);	5	4.0	3	14	FALSE	7.5384617	8	6
E2Maps/museum	(0,4)	N5723	N9753	p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	5	2.0	7	18	FALSE	6.5769234	3	8
E2Maps/museum	(6,4)	N7017	N1342	p(4,4);p(5,4);p(6,4);	6	2.0	2	12	FALSE	6.1538463	3	6
E2Maps/museum	(2,4)	N5958	N1342	p(4,4);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);p(2,2);p(2,3);p(2,4);	6	4.0	8	18	FALSE	8.192307	8	4
E2Maps/museum	(0,4)	N6982	N9638	p(2,4);p(1,4);p(0,4);	6	2.0	2	14	FALSE	6.615385	3	6
E2Maps/museum	(4,4)	N6684	N9638	p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	6	4.0	8	20	FALSE	8.807693	8	4
