world	path	probL	probR	probU	probD	subject_node_path	ideal_value_L	ideal_value_R	ideal_value_U	ideal_value_D
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	0.1818181818	0.8181818181999999	0.0	0.0	N6501,N1441,N3648,N9907,N1957	9.174	8.304	None	None
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	0.0	0.0	0.0	1.0	N6501,N1441,N3648,N9907,N1957,N5779	None	9.174	None	9.348
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	0.0	0.1666666667	0.8333333333	0.0	N6501,N1441,N3648,N9907,N1957,N5779,N2717	None	None	9.348	None
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);	0.0	1.0	0.0	0.0	N6501,N5931	None	10.652	13.435	None
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	0.0	0.0	0.22222222219999999	0.7777777778	N6501,N5931,N7876	None	None	11.522	10.652
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	0.3571428571	0.6428571429	0.0	0.0	N6501,N5931,N7876,N9254	11.696	10.652	12.565	None
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	0.0	0.11538461539999999	0.0	0.8846153845999999	N6501,N1441,N3648,N9907,N1957,N5779	None	9.174	None	9.348
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	0.0	0.0	1.0	0.0	N6501,N1441,N3648,N9907,N1957,N5779,N2717	None	None	9.348	None
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	0.0	0.0	0.0	1.0	N6501,N5931,N7876,N9254,N6499	None	13.087	None	11.696
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	0.0	0.0	1.0	0.0	N6501,N5931,N7876,N9254,N6499,N1112	None	None	12.913	None
bunker3	p(0,0);	0.0	1.0	0.0	0.0	N8280	None	9.739	None	None
bunker3	p(0,0);p(1,0);p(2,0);	0.0	0.0	0.0	1.0	N8280,N6231	None	None	None	9.739
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	0.4682539683	0.5317460317	0.0	0.0	N8280,N6231,N3536	10.783	9.739	None	None
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	0.0	0.2033898305	0.0508474576	0.7457627119	N8280,N6231,N3536,N6108	None	10.783	None	11.478
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	0.0	0.0227272727	0.9772727273	0.0	N8280,N6231,N3536,N6108,N9875	None	None	11.478	None
