subject	world	squarepath	step	squaretype	rt	numopen	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd	action	existsL	existsR	existsU	existsD	blackremains
S16432	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	432	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S16432	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	688	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S164546	courtyard	p(0,0);	0	X	9429	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S164546	courtyard	p(0,0);p(1,0);	1	N	335	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S164546	courtyard	p(0,0);p(1,0);p(2,0);	2	N	320	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1254	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	307	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S164546	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	856	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S166242	courtyard	p(0,0);	0	X	3885	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S166242	courtyard	p(0,0);p(1,0);	1	N	426	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S166242	courtyard	p(0,0);p(1,0);p(2,0);	2	N	381	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	991	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	498	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S166242	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	743	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S180888	courtyard	p(0,0);	0	X	9434	0	0	0	0	0	0	0	0	0	D	FALSE	TRUE	FALSE	TRUE	0
S180888	courtyard	p(0,0);p(0,1);	1	N	485	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S180888	courtyard	p(0,0);p(0,1);p(0,2);	2	N	434	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);	3	N	536	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	4	D	1202	5	3	2	0	0	3	6	0	0	R	FALSE	TRUE	TRUE	FALSE	5
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5	N	425	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	6	N	466	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	7	D	968	3	0	0	2	3	2	1	0	0	U	TRUE	TRUE	TRUE	FALSE	2
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	8	N	404	0	0	0	0	0	0	0	0	0	U	FALSE	FALSE	TRUE	TRUE	2
S180888	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	9	G	933	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S185508	courtyard	p(0,0);	0	X	3399	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S185508	courtyard	p(0,0);p(1,0);	1	N	858	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S185508	courtyard	p(0,0);p(1,0);p(2,0);	2	N	970	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1676	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	690	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S185508	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1299	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S191334	courtyard	p(0,0);	0	X	1102	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S191334	courtyard	p(0,0);p(1,0);	1	N	576	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S191334	courtyard	p(0,0);p(1,0);p(2,0);	2	N	982	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	2003	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	520	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S191334	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1416	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S20545	courtyard	p(0,0);	0	X	1385	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S20545	courtyard	p(0,0);p(1,0);	1	N	386	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S20545	courtyard	p(0,0);p(1,0);p(2,0);	2	N	449	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	522	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	352	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S20545	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	745	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S224593	courtyard	p(0,0);	0	X	1350	0	0	0	0	0	0	0	0	0	R	FALSE	TRUE	FALSE	TRUE	0
S224593	courtyard	p(0,0);p(1,0);	1	N	1093	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S224593	courtyard	p(0,0);p(1,0);p(2,0);	2	N	455	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	10
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);	3	D	1079	4	0	0	4	6	0	0	2	1	D	TRUE	TRUE	FALSE	TRUE	6
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);	4	N	587	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	6
S224593	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	5	G	1246	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S235282	courtyard	p(0,0);	0	X	6246	0	0	0	0	0	0	0	0	0	D	FALSE	TRUE	FALSE	TRUE	0
S235282	courtyard	p(0,0);p(0,1);	1	N	474	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S235282	courtyard	p(0,0);p(0,1);p(0,2);	2	N	662	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);	3	N	778	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	4	D	621	5	3	2	0	0	3	6	0	0	R	FALSE	TRUE	TRUE	FALSE	5
S235282	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5	N	573	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
