subject	world	square_path	chosen_node_path	chosen_value	all_values
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(3,1);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S256137	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S265716	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S269331	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S279506	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S280055	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S29058	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S293561	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S294201	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S294423	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S299579	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S299693	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S311128	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S319548	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,2);	N6609,N2554,N6588,N7822	7.6	7.6;10.6;8.2
S334404	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S336295	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S337973	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S34222	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S342386	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S34564	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S355417	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S357773	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S365730	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S368470	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S37550	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S376806	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S381257	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S391243	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S394005	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S398678	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S402333	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S409816	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S411804	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(4,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	9.0	9.0;6.8;10.6
S413158	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S414838	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S415189	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S419107	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S421809	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S42633	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S455320	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S482085	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S489428	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S490917	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S49292	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S505076	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S507343	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S524015	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S528885	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S531684	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S553913	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S559226	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	12.8	12.8;10.6;8.2
S582832	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S599357	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S600079	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S600877	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S607333	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S622759	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S625801	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S633374	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S646424	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S649302	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S653044	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S661572	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S666066	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S673562	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
