subject	world	square_path	chosen_node_path	chosen_value	all_values 
S334404	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S336295	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S337973	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S34222	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S342386	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S34564	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S355417	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N7734,N3278,N5783	13.423	13.423;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S357773	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S365730	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S368470	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S37550	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	13.115	13.115;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S376806	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S381257	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S391243	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S394005	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S398678	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S402333	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S409816	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S411804	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N7734,N3278,N5783	13.423	13.423;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S413158	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S414838	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S415189	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N2372,N3589,N463,N683	14.115	14.115;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S419107	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S421809	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S42633	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S455320	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S482085	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S489428	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S490917	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S49292	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S505076	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N9753,N5677,N8662,N9028,N8522	16.654	16.654;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S507343	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S524015	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S528885	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S531684	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N1222,N4585,N7756,N4188,N4470	12.346	12.346;11.808;12.423;13.654;12.731;13.346;14.577;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S553913	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S559226	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S582832	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S599357	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S600079	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S600877	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N3961,N6042,N6726,N5811,N1583,N7095	13.346	13.346;11.808;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S607333	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
S622759	museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);	N6665,N4368,N3808,N8301,N651,N1342,N7017,N6551,N8709	12.269	12.269;12.423;13.654;12.731;13.346;14.577;12.115;12.731;13.808;13.346;13.808;12.577;13.808;13.192;13.808;14.269;14.577;14.885;15.808;13.346;13.654;13.962;12.731;13.808;15.038;16.269;14.115;15.038;14.885;15.192;16.115;16.731;13.115;13.423;13.731;12.808;14.038;15.269;13.115;14.038;13.885;14.192;15.115;15.731;16.192;16.5;16.808
