world	node_location	NID	PARENTID	path_from_parent	depth	new_observations	steps_from_parent	steps_from_root	is_leaf	node_value	node_ep	black_remains
courtyard	(0,0)	N6609	NA	p(0,0);	0	0.0	0	0	FALSE	0.0	25	10
courtyard	(3,0)	N2554	N6609	p(0,0);p(1,0);p(2,0);p(3,0);	1	4.0	3	3	FALSE	2.2	10	6
courtyard	(0,4)	N2200	N6609	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	1	5.0	4	4	FALSE	3.5	15	5
courtyard	(3,2)	N6588	N2554	p(3,0);p(3,1);p(3,2);	2	2.0	2	5	FALSE	3.4	2	4
courtyard	(0,4)	N5553	N2554	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	2	4.0	7	10	FALSE	7.3999996	12	2
courtyard	(3,4)	N6173	N2200	p(0,4);p(1,4);p(2,4);p(3,4);	2	3.0	3	7	FALSE	6.2	6	2
courtyard	(3,4)	N7822	N6588	p(3,2);p(3,3);p(3,4);	3	4.0	2	7	TRUE	6.8	6	0
courtyard	(3,2)	N3405	N5553	p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	3	2.0	5	15	TRUE	10.599999	2	0
courtyard	(3,2)	N5323	N6173	p(3,4);p(3,3);p(3,2);	3	2.0	2	9	TRUE	8.2	2	0
