hash	N	probL	probR	probU	probD	rt	rtL	rtR	rtU	rtD	world	actionstaken	square	existsL	existsR	existsU	existsD	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);	7	0	0	0	1	538	NA	NA	NA	538	library	1	N	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);	7	0	0.8571428571	0	0.1428571429	732	NA	745.5	NA	241	library	2	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
library p(0,0);p(1,0);	84	0	0	0	1	714	NA	NA	NA	714	library	1	D	TRUE	FALSE	FALSE	TRUE	0	0	5	4	0	0	5	2
library p(0,0);p(1,0);p(1,1);	84	0.0119047619	0	0	0.9880952381	624	883	NA	NA	617	library	2	N	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);	83	0	0	0	1	528	NA	NA	NA	528	library	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);	83	0	0.1686746988	0	0.8313253012	1096	NA	1600.5	NA	1081	library	2	D	FALSE	TRUE	TRUE	TRUE	4	1	0	0	0	0	2	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);	69	0.0144927536	0	0.9420289855	0.0434782609	821	1120	NA	821	283	library	3	O	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);	65	0	1	0	0	440	NA	440	NA	NA	library	1	N	FALSE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);	65	0	1	0	0	446	NA	446	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	65	0	1	0	0	816	NA	816	NA	NA	library	1	D	TRUE	TRUE	TRUE	TRUE	5	2	0	0	5	4	5	4
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);	65	0	1	0	0	410	NA	410	NA	NA	library	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	65	0	1	0	0	472	NA	472	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	65	0.0153846154	0	0.2461538462	0.7384615385	1188	308	NA	1293.5	1184.5	library	3	D	TRUE	FALSE	TRUE	TRUE	0	0	0	0	2	1	2	0
library p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	48	0	1	0	0	785	NA	785	NA	NA	library	1	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);	27	0	0	1	0	757	NA	NA	757	NA	library	1	O	TRUE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);	27	0	1	0	0	505	NA	505	NA	NA	library	1	N	FALSE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);	27	0	1	0	0	520	NA	520	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);	27	0	1	0	0	895	NA	895	NA	NA	library	1	D	TRUE	TRUE	TRUE	TRUE	5	2	0	0	5	4	5	4
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);	27	0	1	0	0	426	NA	426	NA	NA	library	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	27	0	1	0	0	482	NA	482	NA	NA	library	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);	27	0	0	0.1111111111	0.8888888889	1358	NA	NA	1799	1356	library	2	D	TRUE	FALSE	TRUE	TRUE	0	0	0	0	2	1	2	0
library p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);	24	0	1	0	0	827	NA	827	NA	NA	library	1	G	FALSE	TRUE	TRUE	TRUE	1	1	0	0	0	0	1	0
