world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	D	0	1	0	0	NA	1006.5	NA	NA	1	FALSE	TRUE	TRUE	TRUE
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);	D	0	0	0.75	0.25	NA	NA	995	1480	2	TRUE	FALSE	TRUE	TRUE
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	D	0	0.8571428571	0	0.1428571429	NA	683.5	NA	197	2	FALSE	TRUE	TRUE	TRUE
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	D	1	0	0	0	972	NA	NA	NA	1	TRUE	FALSE	TRUE	TRUE
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);	D	0	0.8666666667	0.1	0.0333333333	NA	855.5	1577	608	3	FALSE	TRUE	TRUE	TRUE
museum	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);	D	1	0	0	0	881.5	NA	NA	NA	1	TRUE	FALSE	TRUE	TRUE
ikea	p(0,0);	X	0	0	0	1	NA	NA	NA	1378.5	1	FALSE	FALSE	FALSE	TRUE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);	O	0	1	0	0	NA	892	NA	NA	1	FALSE	TRUE	TRUE	FALSE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	D	0	0.008	0.616	0.376	NA	280	1361	1553	3	TRUE	TRUE	TRUE	TRUE
ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);	O	0.0128205128	0.0128205128	0.0256410256	0.9487179487	1145	1954	393	1066	4	TRUE	TRUE	TRUE	TRUE
