world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
cubicles	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);	D	0	0.0277777778	0	0.9722222222	NA	344	NA	1048	2	TRUE	TRUE	TRUE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);	O	0	0.0285714286	0	0.9714285714	NA	1343	NA	840.5	2	TRUE	TRUE	TRUE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	D	0.1818181818	0.8181818182	0	0	1535.5	2128	NA	NA	2	TRUE	TRUE	TRUE	FALSE
cubicles	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	D	0	0	0	1	NA	NA	NA	881.5	1	FALSE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	O	0	0.1666666667	0.8333333333	0	NA	1285	736	NA	2	TRUE	TRUE	TRUE	FALSE
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);	D	0	1	0	0	NA	772	NA	NA	1	FALSE	TRUE	TRUE	FALSE
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	D	0	0	0.2222222222	0.7777777778	NA	NA	1521	1264	2	TRUE	TRUE	TRUE	TRUE
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	D	0.3571428571	0.6428571429	0	0	1646	976	NA	NA	2	TRUE	TRUE	TRUE	FALSE
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	D	0	0.1153846154	0	0.8846153846	NA	1189	NA	958	2	FALSE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	O	0	0	1	0	NA	NA	1011	NA	1	TRUE	TRUE	TRUE	FALSE
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);	D	0	0	0	1	NA	NA	NA	817	1	FALSE	TRUE	FALSE	TRUE
cubicles	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);	O	0	0	1	0	NA	NA	1014	NA	1	TRUE	TRUE	TRUE	FALSE
bunker3	p(0,0);	X	0	1	0	0	NA	1342	NA	NA	1	FALSE	TRUE	FALSE	FALSE
bunker3	p(0,0);p(1,0);p(2,0);	O	0	0	0	1	NA	NA	NA	781	1	TRUE	FALSE	FALSE	TRUE
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	D	0.4682539683	0.5317460317	0	0	1240	1480	NA	NA	2	TRUE	TRUE	TRUE	FALSE
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);	D	0	0.2033898305	0.0508474576	0.7457627119	NA	1098.5	640	1141.5	3	FALSE	TRUE	TRUE	TRUE
bunker3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);	O	0	0.0227272727	0.9772727273	0	NA	1000	896	NA	2	FALSE	TRUE	TRUE	FALSE
