	world	node	child	value	prob	N	hash	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
157	museum	N4337909	N3311969	22.75	0.9142857143	35	museum N4337909	13.562	14.481	15.4	16.319	17.238	18.156	19.075	19.994	20.913	21.831
158	museum	N4337909	N4708138	24.75	0.0857142857	35	museum N4337909	17.875	18.562	19.25	19.938	20.625	21.313	22.0	22.688	23.375	24.063
139	museum	N4946088	N2723957	22.25	0.2413793103	29	museum N4946088	16.125	16.738	17.35	17.963	18.575	19.188	19.8	20.412	21.025	21.638
169	museum	N7239905	N1666022	24.9	0.0	1	museum N7239905	16.45	17.295	18.14	18.985	19.83	20.675	21.52	22.365	23.21	24.055
167	museum	N7239905	N8235434	22.900002	1.0	1	museum N7239905	12.8	13.81	14.82	15.83	16.84	17.85	18.86	19.87	20.88	21.89
168	museum	N7239905	N2769566	24.1	0.0	1	museum N7239905	13.8	14.83	15.86	16.89	17.92	18.95	19.98	21.01	22.04	23.07
119	museum	N3878259	N2766129	23.300001	0.0322580645	31	museum N3878259	15.25	16.055	16.86	17.665	18.47	19.275	20.08	20.885	21.69	22.495
118	museum	N3878259	N5843320	21.7	0.064516129	31	museum N3878259	12.2	13.15	14.1	15.05	16.0	16.95	17.9	18.85	19.8	20.75
57	roomG	N8320789	N1625775	18.571428	0.3088235294	68	roomG N8320789	11.5	12.207	12.914	13.621	14.329	15.036	15.743	16.45	17.157	17.864
112	roomG	N5279315	N6566182	22.571428	0.0	1	roomG N5279315	14.071	14.921	15.771	16.621	17.471	18.321	19.171	20.021	20.871	21.721
111	roomG	N5279315	N2518305	20.285713	1.0	1	roomG N5279315	15.571	16.043	16.514	16.986	17.457	17.929	18.4	18.871	19.343	19.814
145	roomG	N8317607	N1983096	21.900002	0.9705882353	34	roomG N8317607	14.75	15.465	16.18	16.895	17.61	18.325	19.04	19.755	20.47	21.185
146	roomG	N8317607	N940315	23.900002	0.029411764700000002	34	roomG N8317607	18.5	19.04	19.58	20.12	20.66	21.2	21.74	22.28	22.82	23.36
26	roomG	N3215843	N3886181	14.294119	0.46031746030000004	126	roomG N3215843	8.265	8.868	9.471	10.074	10.676	11.279	11.882	12.485	13.088	13.691
25	roomG	N3215843	N9994126	13.3529415	0.5396825397	126	roomG N3215843	8.412	8.906	9.4	9.894	10.388	10.882	11.376	11.871	12.365	12.859
51	roomG	N3886181	N5279315	17.307692000000003	0.017241379299999998	58	roomG N3886181	11.846	12.392	12.938	13.485	14.031	14.577	15.123	15.669	16.215	16.762
99	roomG	N1625775	N2316202	19.8	0.0	21	roomG N1625775	17.5	17.73	17.96	18.19	18.42	18.65	18.88	19.11	19.34	19.57
50	roomG	N3886181	N413710	15.769232	0.7241379309999999	58	roomG N3886181	9.577	10.196	10.815	11.435	12.054	12.673	13.292	13.912	14.531	15.15
52	roomG	N3886181	N1443972	17.615382999999998	0.25862068969999996	58	roomG N3886181	9.692	10.485	11.277	12.069	12.862	13.654	14.446	15.238	16.031	16.823
89	roomG	N1443972	N8317607	21.09091	0.8666666667	15	roomG N1443972	11.136	12.132	13.127	14.123	15.118	16.114	17.109	18.105	19.1	20.095
88	roomG	N1443972	N7117627	20.545454	0.0	15	roomG N1443972	15.136	15.677	16.218	16.759	17.3	17.841	18.382	18.923	19.464	20.005
87	roomG	N1443972	N2654501	18.727272	0.1333333333	15	roomG N1443972	12.091	12.755	13.418	14.082	14.745	15.409	16.073	16.736	17.4	18.064
56	roomG	N8320789	N3398689	16.285715	0.6911764706	68	roomG N8320789	12.429	12.814	13.2	13.586	13.971	14.357	14.743	15.129	15.514	15.9
100	roomG	N1625775	N9172148	21.8	1.0	21	roomG N1625775	12.6	13.52	14.44	15.36	16.28	17.2	18.12	19.04	19.96	20.88
19	tworooms	N1627744	N7416731	13.2	0.6507936508	126	tworooms N1627744	8.567	9.03	9.493	9.957	10.42	10.883	11.347	11.81	12.273	12.737
20	tworooms	N1627744	N2169075	15.466667000000001	0.34920634920000004	126	tworooms N1627744	8.667	9.347	10.027	10.707	11.387	12.067	12.747	13.427	14.107	14.787
123	tworooms	N6388298	N3112363	22.571428	0.8095238095	21	tworooms N6388298	12.357	13.379	14.4	15.421	16.443	17.464	18.486	19.507	20.529	21.55
122	tworooms	N6388298	N2446217	20.571428	0.1904761905	21	tworooms N6388298	18.786	18.964	19.143	19.321	19.5	19.679	19.857	20.036	20.214	20.393
75	tworooms	N2277	N5127596	18.5	0.033333333300000004	30	tworooms N2277	14.0	14.45	14.9	15.35	15.8	16.25	16.7	17.15	17.6	18.05
141	tworooms	N7291500	N9403647	21.75	0.7142857143000001	7	tworooms N7291500	12.812	13.706	14.6	15.494	16.388	17.281	18.175	19.069	19.963	20.856
103	tworooms	N5159403	N7004659	20.1	0.0	12	tworooms N5159403	11.5	12.36	13.22	14.08	14.94	15.8	16.66	17.52	18.38	19.24
102	tworooms	N5159403	N1559736	20.1	0.0	12	tworooms N5159403	15.4	15.87	16.34	16.81	17.28	17.75	18.22	18.69	19.16	19.63
74	tworooms	N2277	N6388298	18.3	0.7333333333	30	tworooms N2277	11.1	11.82	12.54	13.26	13.98	14.7	15.42	16.14	16.86	17.58
151	tworooms	N1738800	N5180650	22.714287	1.0	11	tworooms N1738800	12.5	13.521	14.543	15.564	16.586	17.607	18.629	19.65	20.671	21.693
101	tworooms	N5159403	N1738800	19.9	1.0	12	tworooms N5159403	12.05	12.835	13.62	14.405	15.19	15.975	16.76	17.545	18.33	19.115
76	tworooms	N2277	N7291500	19.900002	0.23333333329999997	30	tworooms N2277	11.3	12.16	13.02	13.88	14.74	15.6	16.46	17.32	18.18	19.04
67	tworooms	N2169075	N2277	17.0	0.6818181818000001	44	tworooms N2169075	9.375	10.138	10.9	11.663	12.425	13.188	13.95	14.713	15.475	16.238
68	tworooms	N2169075	N763696	17.166666	0.0454545455	44	tworooms N2169075	12.042	12.554	13.067	13.579	14.092	14.604	15.117	15.629	16.142	16.654
69	tworooms	N2169075	N5159403	18.499998	0.2727272727	44	tworooms N2169075	10.208	11.038	11.867	12.696	13.525	14.354	15.183	16.013	16.842	17.671
140	tworooms	N7291500	N9601214	21.5	0.2857142857	7	tworooms N7291500	18.188	18.519	18.85	19.181	19.513	19.844	20.175	20.506	20.838	21.169
150	tworooms	N1738800	N7295169	22.428572	0.0	11	tworooms N1738800	20.571	20.757	20.943	21.129	21.314	21.5	21.686	21.871	22.057	22.243
