	world	node	child	value	prob	N	hash	dv_0.0	dv_0.01	dv_0.02	dv_0.03	dv_0.04	dv_0.05	dv_0.06	dv_0.07	dv_0.08	dv_0.09	dv_0.1	dv_0.11	dv_0.12	dv_0.13	dv_0.14	dv_0.15	dv_0.16	dv_0.17	dv_0.18	dv_0.19	dv_0.2	dv_0.21	dv_0.22	dv_0.23	dv_0.24	dv_0.25	dv_0.26	dv_0.27	dv_0.28	dv_0.29	dv_0.3	dv_0.31	dv_0.32	dv_0.33	dv_0.34	dv_0.35	dv_0.36	dv_0.37	dv_0.38	dv_0.39	dv_0.4	dv_0.41	dv_0.42	dv_0.43	dv_0.44	dv_0.45	dv_0.46	dv_0.47	dv_0.48	dv_0.49	dv_0.5	dv_0.51	dv_0.52	dv_0.53	dv_0.54	dv_0.55	dv_0.56	dv_0.57	dv_0.58	dv_0.59	dv_0.6	dv_0.61	dv_0.62	dv_0.63	dv_0.64	dv_0.65	dv_0.66	dv_0.67	dv_0.68	dv_0.69	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
22	cubicles	N9556533	N4932175	14.642857000000001	0.21052631579999997	19	cubicles N9556533	1.286	1.419	1.553	1.686	1.82	1.954	2.087	2.221	2.354	2.488	2.621	2.755	2.889	3.022	3.156	3.289	3.423	3.556	3.69	3.824	3.957	4.091	4.224	4.358	4.491	4.625	4.759	4.892	5.026	5.159	5.293	5.426	5.56	5.694	5.827	5.961	6.094	6.228	6.361	6.495	6.629	6.762	6.896	7.029	7.163	7.296	7.43	7.564	7.697	7.831	7.964	8.098	8.231	8.365	8.499	8.632	8.766	8.899	9.033	9.166	9.3	9.434	9.567	9.701	9.834	9.968	10.101	10.235	10.369	10.502	10.636	10.769	10.903	11.036	11.17	11.304	11.437	11.571	11.704	11.838	11.971	12.105	12.239	12.372	12.506	12.639	12.773	12.906	13.04	13.174	13.307	13.441	13.574	13.708	13.841	13.975	14.109	14.242	14.376	14.509
86	cubicles	N8892822	N5568770	22.5	0.0	42	cubicles N8892822	4.25	4.432	4.615	4.798	4.98	5.163	5.345	5.528	5.71	5.892	6.075	6.258	6.44	6.623	6.805	6.988	7.17	7.353	7.535	7.718	7.9	8.082	8.265	8.448	8.63	8.812	8.995	9.178	9.36	9.542	9.725	9.907	10.09	10.272	10.455	10.638	10.82	11.002	11.185	11.368	11.55	11.733	11.915	12.098	12.28	12.463	12.645	12.828	13.01	13.192	13.375	13.558	13.74	13.923	14.105	14.288	14.47	14.653	14.835	15.018	15.2	15.383	15.565	15.748	15.93	16.113	16.295	16.478	16.66	16.842	17.025	17.208	17.39	17.572	17.755	17.938	18.12	18.303	18.485	18.668	18.85	19.033	19.215	19.398	19.58	19.763	19.945	20.128	20.31	20.492	20.675	20.858	21.04	21.222	21.405	21.588	21.77	21.953	22.135	22.318
114	cubicles	N9981263	N2381213	24.999998	0.023255814	43	cubicles N9981263	7.0	7.18	7.36	7.54	7.72	7.9	8.08	8.26	8.44	8.62	8.8	8.98	9.16	9.34	9.52	9.7	9.88	10.06	10.24	10.42	10.6	10.78	10.96	11.14	11.32	11.5	11.68	11.86	12.04	12.22	12.4	12.58	12.76	12.94	13.12	13.3	13.48	13.66	13.84	14.02	14.2	14.38	14.56	14.74	14.92	15.1	15.28	15.46	15.64	15.82	16.0	16.18	16.36	16.54	16.72	16.9	17.08	17.26	17.44	17.62	17.8	17.98	18.16	18.34	18.52	18.7	18.88	19.06	19.24	19.42	19.6	19.78	19.96	20.14	20.32	20.5	20.68	20.86	21.04	21.22	21.4	21.58	21.76	21.94	22.12	22.3	22.48	22.66	22.84	23.02	23.2	23.38	23.56	23.74	23.92	24.1	24.28	24.46	24.64	24.82
115	cubicles	N4606479	N7119625	20.333332000000002	0.0	3	cubicles N4606479	12.667	12.743	12.82	12.897	12.973	13.05	13.127	13.203	13.28	13.357	13.433	13.51	13.587	13.663	13.74	13.817	13.893	13.97	14.047	14.123	14.2	14.277	14.353	14.43	14.507	14.583	14.66	14.737	14.813	14.89	14.967	15.043	15.12	15.197	15.273	15.35	15.427	15.503	15.58	15.657	15.733	15.81	15.887	15.963	16.04	16.117	16.193	16.27	16.347	16.423	16.5	16.577	16.653	16.73	16.807	16.883	16.96	17.037	17.113	17.19	17.267	17.343	17.42	17.497	17.573	17.65	17.727	17.803	17.88	17.957	18.033	18.11	18.187	18.263	18.34	18.417	18.493	18.57	18.647	18.723	18.8	18.877	18.953	19.03	19.107	19.183	19.26	19.337	19.413	19.49	19.567	19.643	19.72	19.797	19.873	19.95	20.027	20.103	20.18	20.257
116	cubicles	N4606479	N6517911	21.0	1.0	3	cubicles N4606479	5.667	5.82	5.973	6.127	6.28	6.433	6.587	6.74	6.893	7.047	7.2	7.353	7.507	7.66	7.813	7.967	8.12	8.273	8.427	8.58	8.733	8.887	9.04	9.193	9.347	9.5	9.653	9.807	9.96	10.113	10.267	10.42	10.573	10.727	10.88	11.033	11.187	11.34	11.493	11.647	11.8	11.953	12.107	12.26	12.413	12.567	12.72	12.873	13.027	13.18	13.333	13.487	13.64	13.793	13.947	14.1	14.253	14.407	14.56	14.713	14.867	15.02	15.173	15.327	15.48	15.633	15.787	15.94	16.093	16.247	16.4	16.553	16.707	16.86	17.013	17.167	17.32	17.473	17.627	17.78	17.933	18.087	18.24	18.393	18.547	18.7	18.853	19.007	19.16	19.313	19.467	19.62	19.773	19.927	20.08	20.233	20.387	20.54	20.693	20.847
61	cubicles	N7167978	N4606479	19.125	0.75	4	cubicles N7167978	3.875	4.028	4.18	4.332	4.485	4.638	4.79	4.942	5.095	5.248	5.4	5.552	5.705	5.858	6.01	6.162	6.315	6.468	6.62	6.773	6.925	7.078	7.23	7.382	7.535	7.688	7.84	7.993	8.145	8.298	8.45	8.602	8.755	8.908	9.06	9.213	9.365	9.518	9.67	9.823	9.975	10.128	10.28	10.433	10.585	10.738	10.89	11.042	11.195	11.348	11.5	11.652	11.805	11.958	12.11	12.263	12.415	12.568	12.72	12.872	13.025	13.178	13.33	13.483	13.635	13.788	13.94	14.093	14.245	14.398	14.55	14.702	14.855	15.008	15.16	15.313	15.465	15.618	15.77	15.923	16.075	16.228	16.38	16.533	16.685	16.838	16.99	17.142	17.295	17.448	17.6	17.752	17.905	18.058	18.21	18.363	18.515	18.668	18.82	18.972
7	cubicles	N2319363	N3487541	13.549999	0.0	107	cubicles N2319363	2.5	2.61	2.721	2.832	2.942	3.052	3.163	3.274	3.384	3.495	3.605	3.716	3.826	3.937	4.047	4.158	4.268	4.379	4.489	4.6	4.71	4.821	4.931	5.042	5.152	5.263	5.373	5.484	5.594	5.704	5.815	5.926	6.036	6.147	6.257	6.368	6.478	6.589	6.699	6.81	6.92	7.031	7.141	7.252	7.362	7.473	7.583	7.694	7.804	7.915	8.025	8.136	8.246	8.356	8.467	8.578	8.688	8.798	8.909	9.02	9.13	9.24	9.351	9.462	9.572	9.683	9.793	9.904	10.014	10.125	10.235	10.346	10.456	10.567	10.677	10.788	10.898	11.009	11.119	11.23	11.34	11.451	11.561	11.672	11.782	11.893	12.003	12.114	12.224	12.335	12.445	12.556	12.666	12.777	12.887	12.998	13.108	13.219	13.329	13.44
60	cubicles	N7167978	N6349558	16.625	0.25	4	cubicles N7167978	7.5	7.591	7.682	7.774	7.865	7.956	8.047	8.139	8.23	8.321	8.412	8.504	8.595	8.686	8.778	8.869	8.96	9.051	9.142	9.234	9.325	9.416	9.508	9.599	9.69	9.781	9.872	9.964	10.055	10.146	10.238	10.329	10.42	10.511	10.602	10.694	10.785	10.876	10.968	11.059	11.15	11.241	11.332	11.424	11.515	11.606	11.698	11.789	11.88	11.971	12.062	12.154	12.245	12.336	12.428	12.519	12.61	12.701	12.792	12.884	12.975	13.066	13.157	13.249	13.34	13.431	13.522	13.614	13.705	13.796	13.888	13.979	14.07	14.161	14.252	14.344	14.435	14.526	14.618	14.709	14.8	14.891	14.983	15.074	15.165	15.256	15.348	15.439	15.53	15.621	15.712	15.804	15.895	15.986	16.078	16.169	16.26	16.351	16.442	16.534
15	cubicles	N117979	N3494734	15.124998999999999	0.3396226415	106	cubicles N117979	2.875	2.998	3.12	3.242	3.365	3.488	3.61	3.732	3.855	3.978	4.1	4.222	4.345	4.468	4.59	4.712	4.835	4.958	5.08	5.203	5.325	5.448	5.57	5.693	5.815	5.938	6.06	6.183	6.305	6.428	6.55	6.672	6.795	6.918	7.04	7.163	7.285	7.408	7.53	7.653	7.775	7.898	8.02	8.143	8.265	8.388	8.51	8.632	8.755	8.878	9.0	9.123	9.245	9.368	9.49	9.612	9.735	9.858	9.98	10.103	10.225	10.348	10.47	10.593	10.715	10.838	10.96	11.083	11.205	11.328	11.45	11.573	11.695	11.818	11.94	12.063	12.185	12.308	12.43	12.553	12.675	12.798	12.92	13.043	13.165	13.288	13.41	13.532	13.655	13.778	13.9	14.022	14.145	14.268	14.39	14.513	14.635	14.758	14.88	15.003
14	cubicles	N117979	N2528154	12.625	0.6603773585	106	cubicles N117979	5.5	5.571	5.642	5.714	5.785	5.856	5.928	5.999	6.07	6.141	6.212	6.284	6.355	6.426	6.498	6.569	6.64	6.711	6.782	6.854	6.925	6.996	7.068	7.139	7.21	7.281	7.352	7.424	7.495	7.566	7.637	7.709	7.78	7.851	7.922	7.994	8.065	8.136	8.208	8.279	8.35	8.421	8.492	8.564	8.635	8.706	8.778	8.849	8.92	8.991	9.062	9.134	9.205	9.276	9.348	9.419	9.49	9.561	9.632	9.704	9.775	9.846	9.918	9.989	10.06	10.131	10.202	10.274	10.345	10.416	10.488	10.559	10.63	10.701	10.772	10.844	10.915	10.986	11.058	11.129	11.2	11.271	11.343	11.414	11.485	11.556	11.628	11.699	11.77	11.841	11.913	11.984	12.055	12.126	12.198	12.269	12.34	12.411	12.482	12.554
21	cubicles	N9556533	N9487763	13.214286999999999	0.7894736842	19	cubicles N9556533	2.714	2.819	2.924	3.029	3.134	3.239	3.344	3.449	3.554	3.659	3.764	3.869	3.974	4.079	4.184	4.289	4.394	4.499	4.604	4.709	4.814	4.919	5.024	5.129	5.234	5.339	5.444	5.549	5.654	5.759	5.864	5.969	6.074	6.179	6.284	6.389	6.494	6.599	6.704	6.809	6.914	7.019	7.124	7.229	7.334	7.439	7.544	7.649	7.754	7.859	7.964	8.069	8.174	8.279	8.384	8.489	8.594	8.699	8.804	8.909	9.014	9.119	9.224	9.329	9.434	9.539	9.644	9.749	9.854	9.959	10.064	10.169	10.274	10.379	10.484	10.589	10.694	10.799	10.904	11.009	11.114	11.219	11.324	11.429	11.534	11.639	11.744	11.849	11.954	12.059	12.164	12.269	12.374	12.479	12.584	12.689	12.794	12.899	13.004	13.109
13	cubicles	N8435133	N4303499	15.499998999999999	0.0	19	cubicles N8435133	1.667	1.805	1.943	2.082	2.22	2.358	2.497	2.635	2.773	2.912	3.05	3.188	3.327	3.465	3.603	3.742	3.88	4.018	4.157	4.295	4.433	4.572	4.71	4.848	4.987	5.125	5.263	5.402	5.54	5.678	5.817	5.955	6.093	6.232	6.37	6.508	6.647	6.785	6.923	7.062	7.2	7.338	7.477	7.615	7.753	7.892	8.03	8.168	8.307	8.445	8.583	8.722	8.86	8.998	9.137	9.275	9.413	9.552	9.69	9.828	9.967	10.105	10.243	10.382	10.52	10.658	10.797	10.935	11.073	11.212	11.35	11.488	11.627	11.765	11.903	12.042	12.18	12.318	12.457	12.595	12.733	12.872	13.01	13.148	13.287	13.425	13.563	13.702	13.84	13.978	14.117	14.255	14.393	14.532	14.67	14.808	14.947	15.085	15.223	15.362
12	cubicles	N8435133	N9556533	11.944446000000001	1.0	19	cubicles N8435133	1.667	1.769	1.872	1.975	2.078	2.181	2.283	2.386	2.489	2.592	2.694	2.797	2.9	3.003	3.106	3.208	3.311	3.414	3.517	3.619	3.722	3.825	3.928	4.031	4.133	4.236	4.339	4.442	4.544	4.647	4.75	4.853	4.956	5.058	5.161	5.264	5.367	5.469	5.572	5.675	5.778	5.881	5.983	6.086	6.189	6.292	6.394	6.497	6.6	6.703	6.806	6.908	7.011	7.114	7.217	7.319	7.422	7.525	7.628	7.731	7.833	7.936	8.039	8.142	8.244	8.347	8.45	8.553	8.656	8.758	8.861	8.964	9.067	9.169	9.272	9.375	9.478	9.581	9.683	9.786	9.889	9.992	10.094	10.197	10.3	10.403	10.506	10.608	10.711	10.814	10.917	11.019	11.122	11.225	11.328	11.431	11.533	11.636	11.739	11.842
6	cubicles	N2319363	N2367950	9.75	1.0	107	cubicles N2319363	1.3	1.384	1.469	1.554	1.638	1.723	1.807	1.892	1.976	2.06	2.145	2.23	2.314	2.399	2.483	2.568	2.652	2.737	2.821	2.906	2.99	3.075	3.159	3.244	3.328	3.413	3.497	3.582	3.666	3.75	3.835	3.92	4.004	4.088	4.173	4.258	4.342	4.426	4.511	4.596	4.68	4.765	4.849	4.934	5.018	5.103	5.187	5.272	5.356	5.44	5.525	5.61	5.694	5.778	5.863	5.948	6.032	6.116	6.201	6.286	6.37	6.454	6.539	6.624	6.708	6.792	6.877	6.962	7.046	7.131	7.215	7.299	7.384	7.468	7.553	7.638	7.722	7.807	7.891	7.976	8.06	8.145	8.229	8.314	8.398	8.482	8.567	8.652	8.736	8.82	8.905	8.99	9.074	9.159	9.243	9.328	9.412	9.497	9.581	9.666
170	garden	N8153414	N6330284	23.2	1.0	27	garden N8153414	7.4	7.558	7.716	7.874	8.032	8.19	8.348	8.506	8.664	8.822	8.98	9.138	9.296	9.454	9.612	9.77	9.928	10.086	10.244	10.402	10.56	10.718	10.876	11.034	11.192	11.35	11.508	11.666	11.824	11.982	12.14	12.298	12.456	12.614	12.772	12.93	13.088	13.246	13.404	13.562	13.72	13.878	14.036	14.194	14.352	14.51	14.668	14.826	14.984	15.142	15.3	15.458	15.616	15.774	15.932	16.09	16.248	16.406	16.564	16.722	16.88	17.038	17.196	17.354	17.512	17.67	17.828	17.986	18.144	18.302	18.46	18.618	18.776	18.934	19.092	19.25	19.408	19.566	19.724	19.882	20.04	20.198	20.356	20.514	20.672	20.83	20.988	21.146	21.304	21.462	21.62	21.778	21.936	22.094	22.252	22.41	22.568	22.726	22.884	23.042
171	garden	N8153414	N6675860	26.000002	0.0	27	garden N8153414	8.6	8.774	8.948	9.122	9.296	9.47	9.644	9.818	9.992	10.166	10.34	10.514	10.688	10.862	11.036	11.21	11.384	11.558	11.732	11.906	12.08	12.254	12.428	12.602	12.776	12.95	13.124	13.298	13.472	13.646	13.82	13.994	14.168	14.342	14.516	14.69	14.864	15.038	15.212	15.386	15.56	15.734	15.908	16.082	16.256	16.43	16.604	16.778	16.952	17.126	17.3	17.474	17.648	17.822	17.996	18.17	18.344	18.518	18.692	18.866	19.04	19.214	19.388	19.562	19.736	19.91	20.084	20.258	20.432	20.606	20.78	20.954	21.128	21.302	21.476	21.65	21.824	21.998	22.172	22.346	22.52	22.694	22.868	23.042	23.216	23.39	23.564	23.738	23.912	24.086	24.26	24.434	24.608	24.782	24.956	25.13	25.304	25.478	25.652	25.826
72	garden	N7850553	N6320060	18.0	0.6551724138	58	garden N7850553	2.3	2.457	2.614	2.771	2.928	3.085	3.242	3.399	3.556	3.713	3.87	4.027	4.184	4.341	4.498	4.655	4.812	4.969	5.126	5.283	5.44	5.597	5.754	5.911	6.068	6.225	6.382	6.539	6.696	6.853	7.01	7.167	7.324	7.481	7.638	7.795	7.952	8.109	8.266	8.423	8.58	8.737	8.894	9.051	9.208	9.365	9.522	9.679	9.836	9.993	10.15	10.307	10.464	10.621	10.778	10.935	11.092	11.249	11.406	11.563	11.72	11.877	12.034	12.191	12.348	12.505	12.662	12.819	12.976	13.133	13.29	13.447	13.604	13.761	13.918	14.075	14.232	14.389	14.546	14.703	14.86	15.017	15.174	15.331	15.488	15.645	15.802	15.959	16.116	16.273	16.43	16.587	16.744	16.901	17.058	17.215	17.372	17.529	17.686	17.843
129	garden	N4613075	N5298440	21.285717	0.5	20	garden N4613075	4.143	4.314	4.486	4.657	4.829	5.0	5.171	5.343	5.514	5.686	5.857	6.029	6.2	6.371	6.543	6.714	6.886	7.057	7.229	7.4	7.571	7.743	7.914	8.086	8.257	8.429	8.6	8.771	8.943	9.114	9.286	9.457	9.629	9.8	9.971	10.143	10.314	10.486	10.657	10.829	11.0	11.171	11.343	11.514	11.686	11.857	12.029	12.2	12.371	12.543	12.714	12.886	13.057	13.229	13.4	13.571	13.743	13.914	14.086	14.257	14.429	14.6	14.771	14.943	15.114	15.286	15.457	15.629	15.8	15.971	16.143	16.314	16.486	16.657	16.829	17.0	17.171	17.343	17.514	17.686	17.857	18.029	18.2	18.371	18.543	18.714	18.886	19.057	19.229	19.4	19.571	19.743	19.914	20.086	20.257	20.429	20.6	20.771	20.943	21.114
62	garden	N7603509	N2138712	16.916666	0.84375	32	garden N7603509	3.833	3.964	4.095	4.226	4.357	4.488	4.618	4.749	4.88	5.011	5.142	5.272	5.403	5.534	5.665	5.796	5.927	6.058	6.188	6.319	6.45	6.581	6.712	6.842	6.973	7.104	7.235	7.366	7.497	7.627	7.758	7.889	8.02	8.151	8.282	8.413	8.543	8.674	8.805	8.936	9.067	9.198	9.328	9.459	9.59	9.721	9.852	9.983	10.113	10.244	10.375	10.506	10.637	10.768	10.898	11.029	11.16	11.291	11.422	11.552	11.683	11.814	11.945	12.076	12.207	12.338	12.468	12.599	12.73	12.861	12.992	13.123	13.253	13.384	13.515	13.646	13.777	13.908	14.038	14.169	14.3	14.431	14.562	14.693	14.823	14.954	15.085	15.216	15.347	15.478	15.608	15.739	15.87	16.001	16.132	16.263	16.393	16.524	16.655	16.786
73	garden	N7850553	N4613075	18.400002	0.3448275862	58	garden N7850553	3.9	4.045	4.19	4.335	4.48	4.625	4.77	4.915	5.06	5.205	5.35	5.495	5.64	5.785	5.93	6.075	6.22	6.365	6.51	6.655	6.8	6.945	7.09	7.235	7.38	7.525	7.67	7.815	7.96	8.105	8.25	8.395	8.54	8.685	8.83	8.975	9.12	9.265	9.41	9.555	9.7	9.845	9.99	10.135	10.28	10.425	10.57	10.715	10.86	11.005	11.15	11.295	11.44	11.585	11.73	11.875	12.02	12.165	12.31	12.455	12.6	12.745	12.89	13.035	13.18	13.325	13.47	13.615	13.76	13.905	14.05	14.195	14.34	14.485	14.63	14.775	14.92	15.065	15.21	15.355	15.5	15.645	15.79	15.935	16.08	16.225	16.37	16.515	16.66	16.805	16.95	17.095	17.24	17.385	17.53	17.675	17.82	17.965	18.11	18.255
134	garden	N9476286	N5061495	21.2	0.6315789474	38	garden N9476286	7.4	7.538	7.676	7.814	7.952	8.09	8.228	8.366	8.504	8.642	8.78	8.918	9.056	9.194	9.332	9.47	9.608	9.746	9.884	10.022	10.16	10.298	10.436	10.574	10.712	10.85	10.988	11.126	11.264	11.402	11.54	11.678	11.816	11.954	12.092	12.23	12.368	12.506	12.644	12.782	12.92	13.058	13.196	13.334	13.472	13.61	13.748	13.886	14.024	14.162	14.3	14.438	14.576	14.714	14.852	14.99	15.128	15.266	15.404	15.542	15.68	15.818	15.956	16.094	16.232	16.37	16.508	16.646	16.784	16.922	17.06	17.198	17.336	17.474	17.612	17.75	17.888	18.026	18.164	18.302	18.44	18.578	18.716	18.854	18.992	19.13	19.268	19.406	19.544	19.682	19.82	19.958	20.096	20.234	20.372	20.51	20.648	20.786	20.924	21.062
104	garden	N4747663	N4619086	20.090908	0.5833333333	36	garden N4747663	1.909	2.091	2.273	2.455	2.636	2.818	3.0	3.182	3.364	3.545	3.727	3.909	4.091	4.273	4.455	4.636	4.818	5.0	5.182	5.364	5.545	5.727	5.909	6.091	6.273	6.455	6.636	6.818	7.0	7.182	7.364	7.545	7.727	7.909	8.091	8.273	8.455	8.636	8.818	9.0	9.182	9.364	9.545	9.727	9.909	10.091	10.273	10.455	10.636	10.818	11.0	11.182	11.364	11.545	11.727	11.909	12.091	12.273	12.455	12.636	12.818	13.0	13.182	13.364	13.545	13.727	13.909	14.091	14.273	14.455	14.636	14.818	15.0	15.182	15.364	15.545	15.727	15.909	16.091	16.273	16.455	16.636	16.818	17.0	17.182	17.364	17.545	17.727	17.909	18.091	18.273	18.455	18.636	18.818	19.0	19.182	19.364	19.545	19.727	19.909
153	garden	N3123108	N9923259	22.444447	0.8	5	garden N3123108	3.222	3.414	3.607	3.799	3.991	4.183	4.376	4.568	4.76	4.952	5.144	5.337	5.529	5.721	5.913	6.106	6.298	6.49	6.682	6.874	7.067	7.259	7.451	7.643	7.836	8.028	8.22	8.412	8.604	8.797	8.989	9.181	9.373	9.566	9.758	9.95	10.142	10.334	10.527	10.719	10.911	11.103	11.296	11.488	11.68	11.872	12.064	12.257	12.449	12.641	12.833	13.026	13.218	13.41	13.602	13.794	13.987	14.179	14.371	14.563	14.756	14.948	15.14	15.332	15.524	15.717	15.909	16.101	16.293	16.486	16.678	16.87	17.062	17.254	17.447	17.639	17.831	18.023	18.216	18.408	18.6	18.792	18.984	19.177	19.369	19.561	19.753	19.946	20.138	20.33	20.522	20.714	20.907	21.099	21.291	21.483	21.676	21.868	22.06	22.252
152	garden	N3123108	N5359231	22.444447	0.2	5	garden N3123108	3.222	3.414	3.607	3.799	3.991	4.183	4.376	4.568	4.76	4.952	5.144	5.337	5.529	5.721	5.913	6.106	6.298	6.49	6.682	6.874	7.067	7.259	7.451	7.643	7.836	8.028	8.22	8.412	8.604	8.797	8.989	9.181	9.373	9.566	9.758	9.95	10.142	10.334	10.527	10.719	10.911	11.103	11.296	11.488	11.68	11.872	12.064	12.257	12.449	12.641	12.833	13.026	13.218	13.41	13.602	13.794	13.987	14.179	14.371	14.563	14.756	14.948	15.14	15.332	15.524	15.717	15.909	16.101	16.293	16.486	16.678	16.87	17.062	17.254	17.447	17.639	17.831	18.023	18.216	18.408	18.6	18.792	18.984	19.177	19.369	19.561	19.753	19.946	20.138	20.33	20.522	20.714	20.907	21.099	21.291	21.483	21.676	21.868	22.06	22.252
149	garden	N8246099	N4984823	23.111113	0.0666666667	15	garden N8246099	3.889	4.081	4.273	4.466	4.658	4.85	5.042	5.234	5.427	5.619	5.811	6.003	6.196	6.388	6.58	6.772	6.964	7.157	7.349	7.541	7.733	7.926	8.118	8.31	8.502	8.694	8.887	9.079	9.271	9.463	9.656	9.848	10.04	10.232	10.424	10.617	10.809	11.001	11.193	11.386	11.578	11.77	11.962	12.154	12.347	12.539	12.731	12.923	13.116	13.308	13.5	13.692	13.884	14.077	14.269	14.461	14.653	14.846	15.038	15.23	15.422	15.614	15.807	15.999	16.191	16.383	16.576	16.768	16.96	17.152	17.344	17.537	17.729	17.921	18.113	18.306	18.498	18.69	18.882	19.074	19.267	19.459	19.651	19.843	20.036	20.228	20.42	20.612	20.804	20.997	21.189	21.381	21.573	21.766	21.958	22.15	22.342	22.534	22.727	22.919
148	garden	N8246099	N7102836	22.222225	0.0	15	garden N8246099	7.778	7.922	8.067	8.211	8.356	8.5	8.644	8.789	8.933	9.078	9.222	9.367	9.511	9.656	9.8	9.944	10.089	10.233	10.378	10.522	10.667	10.811	10.956	11.1	11.244	11.389	11.533	11.678	11.822	11.967	12.111	12.256	12.4	12.544	12.689	12.833	12.978	13.122	13.267	13.411	13.556	13.7	13.844	13.989	14.133	14.278	14.422	14.567	14.711	14.856	15.0	15.144	15.289	15.433	15.578	15.722	15.867	16.011	16.156	16.3	16.444	16.589	16.733	16.878	17.022	17.167	17.311	17.456	17.6	17.744	17.889	18.033	18.178	18.322	18.467	18.611	18.756	18.9	19.044	19.189	19.333	19.478	19.622	19.767	19.911	20.056	20.2	20.344	20.489	20.633	20.778	20.922	21.067	21.211	21.356	21.5	21.644	21.789	21.933	22.078
130	garden	N4613075	N4016530	24.428572	0.0	20	garden N4613075	5.0	5.194	5.389	5.583	5.777	5.971	6.166	6.36	6.554	6.749	6.943	7.137	7.331	7.526	7.72	7.914	8.109	8.303	8.497	8.691	8.886	9.08	9.274	9.469	9.663	9.857	10.051	10.246	10.44	10.634	10.829	11.023	11.217	11.411	11.606	11.8	11.994	12.189	12.383	12.577	12.771	12.966	13.16	13.354	13.549	13.743	13.937	14.131	14.326	14.52	14.714	14.909	15.103	15.297	15.491	15.686	15.88	16.074	16.269	16.463	16.657	16.851	17.046	17.24	17.434	17.629	17.823	18.017	18.211	18.406	18.6	18.794	18.989	19.183	19.377	19.571	19.766	19.96	20.154	20.349	20.543	20.737	20.931	21.126	21.32	21.514	21.709	21.903	22.097	22.291	22.486	22.68	22.874	23.069	23.263	23.457	23.651	23.846	24.04	24.234
105	garden	N4747663	N8246099	20.090908	0.4166666667	36	garden N4747663	1.909	2.091	2.273	2.455	2.636	2.818	3.0	3.182	3.364	3.545	3.727	3.909	4.091	4.273	4.455	4.636	4.818	5.0	5.182	5.364	5.545	5.727	5.909	6.091	6.273	6.455	6.636	6.818	7.0	7.182	7.364	7.545	7.727	7.909	8.091	8.273	8.455	8.636	8.818	9.0	9.182	9.364	9.545	9.727	9.909	10.091	10.273	10.455	10.636	10.818	11.0	11.182	11.364	11.545	11.727	11.909	12.091	12.273	12.455	12.636	12.818	13.0	13.182	13.364	13.545	13.727	13.909	14.091	14.273	14.455	14.636	14.818	15.0	15.182	15.364	15.545	15.727	15.909	16.091	16.273	16.455	16.636	16.818	17.0	17.182	17.364	17.545	17.727	17.909	18.091	18.273	18.455	18.636	18.818	19.0	19.182	19.364	19.545	19.727	19.909
106	garden	N4747663	N1289190	20.454544	0.0	36	garden N4747663	4.909	5.065	5.22	5.375	5.531	5.686	5.842	5.997	6.153	6.308	6.464	6.619	6.775	6.93	7.085	7.241	7.396	7.552	7.707	7.863	8.018	8.174	8.329	8.485	8.64	8.795	8.951	9.106	9.262	9.417	9.573	9.728	9.884	10.039	10.195	10.35	10.505	10.661	10.816	10.972	11.127	11.283	11.438	11.594	11.749	11.905	12.06	12.215	12.371	12.526	12.682	12.837	12.993	13.148	13.304	13.459	13.615	13.77	13.925	14.081	14.236	14.392	14.547	14.703	14.858	15.014	15.169	15.325	15.48	15.635	15.791	15.946	16.102	16.257	16.413	16.568	16.724	16.879	17.035	17.19	17.345	17.501	17.656	17.812	17.967	18.123	18.278	18.434	18.589	18.745	18.9	19.055	19.211	19.366	19.522	19.677	19.833	19.988	20.144	20.299
107	garden	N4747663	N5433401	21.181818	0.0	36	garden N4747663	2.455	2.642	2.829	3.016	3.204	3.391	3.578	3.765	3.953	4.14	4.327	4.515	4.702	4.889	5.076	5.264	5.451	5.638	5.825	6.013	6.2	6.387	6.575	6.762	6.949	7.136	7.324	7.511	7.698	7.885	8.073	8.26	8.447	8.635	8.822	9.009	9.196	9.384	9.571	9.758	9.945	10.133	10.32	10.507	10.695	10.882	11.069	11.256	11.444	11.631	11.818	12.005	12.193	12.38	12.567	12.755	12.942	13.129	13.316	13.504	13.691	13.878	14.065	14.253	14.44	14.627	14.815	15.002	15.189	15.376	15.564	15.751	15.938	16.125	16.313	16.5	16.687	16.875	17.062	17.249	17.436	17.624	17.811	17.998	18.185	18.373	18.56	18.747	18.935	19.122	19.309	19.496	19.684	19.871	20.058	20.245	20.433	20.62	20.807	20.995
