	world	node	child	value	prob	N	hash	dv_0.0	dv_0.01	dv_0.02	dv_0.03	dv_0.04	dv_0.05	dv_0.06	dv_0.07	dv_0.08	dv_0.09	dv_0.1	dv_0.11	dv_0.12	dv_0.13	dv_0.14	dv_0.15	dv_0.16	dv_0.17	dv_0.18	dv_0.19	dv_0.2	dv_0.21	dv_0.22	dv_0.23	dv_0.24	dv_0.25	dv_0.26	dv_0.27	dv_0.28	dv_0.29	dv_0.3	dv_0.31	dv_0.32	dv_0.33	dv_0.34	dv_0.35	dv_0.36	dv_0.37	dv_0.38	dv_0.39	dv_0.4	dv_0.41	dv_0.42	dv_0.43	dv_0.44	dv_0.45	dv_0.46	dv_0.47	dv_0.48	dv_0.49	dv_0.5	dv_0.51	dv_0.52	dv_0.53	dv_0.54	dv_0.55	dv_0.56	dv_0.57	dv_0.58	dv_0.59	dv_0.6	dv_0.61	dv_0.62	dv_0.63	dv_0.64	dv_0.65	dv_0.66	dv_0.67	dv_0.68	dv_0.69	dv_0.7	dv_0.71	dv_0.72	dv_0.73	dv_0.74	dv_0.75	dv_0.76	dv_0.77	dv_0.78	dv_0.79	dv_0.8	dv_0.81	dv_0.82	dv_0.83	dv_0.84	dv_0.85	dv_0.86	dv_0.87	dv_0.88	dv_0.89	dv_0.9	dv_0.91	dv_0.92	dv_0.93	dv_0.94	dv_0.95	dv_0.96	dv_0.97	dv_0.98	dv_0.99
1	courtyard	N3719219	N3977188	8.2	0.22222222219999999	126	courtyard N3719219	3.5	3.547	3.594	3.641	3.688	3.735	3.782	3.829	3.876	3.923	3.97	4.017	4.064	4.111	4.158	4.205	4.252	4.299	4.346	4.393	4.44	4.487	4.534	4.581	4.628	4.675	4.722	4.769	4.816	4.863	4.91	4.957	5.004	5.051	5.098	5.145	5.192	5.239	5.286	5.333	5.38	5.427	5.474	5.521	5.568	5.615	5.662	5.709	5.756	5.803	5.85	5.897	5.944	5.991	6.038	6.085	6.132	6.179	6.226	6.273	6.32	6.367	6.414	6.461	6.508	6.555	6.602	6.649	6.696	6.743	6.79	6.837	6.884	6.931	6.978	7.025	7.072	7.119	7.166	7.213	7.26	7.307	7.354	7.401	7.448	7.495	7.542	7.589	7.636	7.683	7.73	7.777	7.824	7.871	7.918	7.965	8.012	8.059	8.106	8.153
3	courtyard	N990982	N3622934	14.0	0.0	98	courtyard N990982	8.667	8.72	8.773	8.827	8.88	8.933	8.987	9.04	9.093	9.147	9.2	9.253	9.307	9.36	9.413	9.467	9.52	9.573	9.627	9.68	9.733	9.787	9.84	9.893	9.947	10.0	10.053	10.107	10.16	10.213	10.267	10.32	10.373	10.427	10.48	10.533	10.587	10.64	10.693	10.747	10.8	10.853	10.907	10.96	11.013	11.067	11.12	11.173	11.227	11.28	11.333	11.387	11.44	11.493	11.547	11.6	11.653	11.707	11.76	11.813	11.867	11.92	11.973	12.027	12.08	12.133	12.187	12.24	12.293	12.347	12.4	12.453	12.507	12.56	12.613	12.667	12.72	12.773	12.827	12.88	12.933	12.987	13.04	13.093	13.147	13.2	13.253	13.307	13.36	13.413	13.467	13.52	13.573	13.627	13.68	13.733	13.787	13.84	13.893	13.947
4	cubicles	N7210304	N2319363	9.0	0.8492063492	126	cubicles N7210304	0.522	0.607	0.691	0.776	0.861	0.946	1.03	1.115	1.2	1.285	1.37	1.454	1.539	1.624	1.709	1.793	1.878	1.963	2.048	2.133	2.217	2.302	2.387	2.472	2.557	2.641	2.726	2.811	2.896	2.98	3.065	3.15	3.235	3.32	3.404	3.489	3.574	3.659	3.743	3.828	3.913	3.998	4.083	4.167	4.252	4.337	4.422	4.507	4.591	4.676	4.761	4.846	4.93	5.015	5.1	5.185	5.27	5.354	5.439	5.524	5.609	5.693	5.778	5.863	5.948	6.033	6.117	6.202	6.287	6.372	6.457	6.541	6.626	6.711	6.796	6.88	6.965	7.05	7.135	7.22	7.304	7.389	7.474	7.559	7.643	7.728	7.813	7.898	7.983	8.067	8.152	8.237	8.322	8.407	8.491	8.576	8.661	8.746	8.83	8.915
84	cubicles	N8892822	N9981263	18.5	0.9285714286	42	cubicles N8892822	3.25	3.402	3.555	3.708	3.86	4.012	4.165	4.318	4.47	4.623	4.775	4.928	5.08	5.232	5.385	5.538	5.69	5.842	5.995	6.148	6.3	6.453	6.605	6.758	6.91	7.062	7.215	7.368	7.52	7.672	7.825	7.978	8.13	8.282	8.435	8.588	8.74	8.892	9.045	9.198	9.35	9.503	9.655	9.808	9.96	10.112	10.265	10.418	10.57	10.722	10.875	11.028	11.18	11.333	11.485	11.638	11.79	11.943	12.095	12.248	12.4	12.553	12.705	12.858	13.01	13.163	13.315	13.468	13.62	13.773	13.925	14.078	14.23	14.382	14.535	14.688	14.84	14.993	15.145	15.298	15.45	15.603	15.755	15.908	16.06	16.212	16.365	16.518	16.67	16.822	16.975	17.128	17.28	17.432	17.585	17.738	17.89	18.043	18.195	18.348
35	cubicles	N9487763	N3493111	19.1	0.0	15	cubicles N9487763	2.6	2.765	2.93	3.095	3.26	3.425	3.59	3.755	3.92	4.085	4.25	4.415	4.58	4.745	4.91	5.075	5.24	5.405	5.57	5.735	5.9	6.065	6.23	6.395	6.56	6.725	6.89	7.055	7.22	7.385	7.55	7.715	7.88	8.045	8.21	8.375	8.54	8.705	8.87	9.035	9.2	9.365	9.53	9.695	9.86	10.025	10.19	10.355	10.52	10.685	10.85	11.015	11.18	11.345	11.51	11.675	11.84	12.005	12.17	12.335	12.5	12.665	12.83	12.995	13.16	13.325	13.49	13.655	13.82	13.985	14.15	14.315	14.48	14.645	14.81	14.975	15.14	15.305	15.47	15.635	15.8	15.965	16.13	16.295	16.46	16.625	16.79	16.955	17.12	17.285	17.45	17.615	17.78	17.945	18.11	18.275	18.44	18.605	18.77	18.935
34	cubicles	N9487763	N8892822	17.1	0.4	15	cubicles N9487763	2.3	2.448	2.596	2.744	2.892	3.04	3.188	3.336	3.484	3.632	3.78	3.928	4.076	4.224	4.372	4.52	4.668	4.816	4.964	5.112	5.26	5.408	5.556	5.704	5.852	6.0	6.148	6.296	6.444	6.592	6.74	6.888	7.036	7.184	7.332	7.48	7.628	7.776	7.924	8.072	8.22	8.368	8.516	8.664	8.812	8.96	9.108	9.256	9.404	9.552	9.7	9.848	9.996	10.144	10.292	10.44	10.588	10.736	10.884	11.032	11.18	11.328	11.476	11.624	11.772	11.92	12.068	12.216	12.364	12.512	12.66	12.808	12.956	13.104	13.252	13.4	13.548	13.696	13.844	13.992	14.14	14.288	14.436	14.584	14.732	14.88	15.028	15.176	15.324	15.472	15.62	15.768	15.916	16.064	16.212	16.36	16.508	16.656	16.804	16.952
33	cubicles	N9487763	N9527877	14.700001	0.6	15	cubicles N9487763	4.4	4.503	4.606	4.709	4.812	4.915	5.018	5.121	5.224	5.327	5.43	5.533	5.636	5.739	5.842	5.945	6.048	6.151	6.254	6.357	6.46	6.563	6.666	6.769	6.872	6.975	7.078	7.181	7.284	7.387	7.49	7.593	7.696	7.799	7.902	8.005	8.108	8.211	8.314	8.417	8.52	8.623	8.726	8.829	8.932	9.035	9.138	9.241	9.344	9.447	9.55	9.653	9.756	9.859	9.962	10.065	10.168	10.271	10.374	10.477	10.58	10.683	10.786	10.889	10.992	11.095	11.198	11.301	11.404	11.507	11.61	11.713	11.816	11.919	12.022	12.125	12.228	12.331	12.434	12.537	12.64	12.743	12.846	12.949	13.052	13.155	13.258	13.361	13.464	13.567	13.67	13.773	13.876	13.979	14.082	14.185	14.288	14.391	14.494	14.597
113	cubicles	N9981263	N2053914	20.333332000000002	0.9767441859999999	43	cubicles N9981263	12.667	12.743	12.82	12.897	12.973	13.05	13.127	13.203	13.28	13.357	13.433	13.51	13.587	13.663	13.74	13.817	13.893	13.97	14.047	14.123	14.2	14.277	14.353	14.43	14.507	14.583	14.66	14.737	14.813	14.89	14.967	15.043	15.12	15.197	15.273	15.35	15.427	15.503	15.58	15.657	15.733	15.81	15.887	15.963	16.04	16.117	16.193	16.27	16.347	16.423	16.5	16.577	16.653	16.73	16.807	16.883	16.96	17.037	17.113	17.19	17.267	17.343	17.42	17.497	17.573	17.65	17.727	17.803	17.88	17.957	18.033	18.11	18.187	18.263	18.34	18.417	18.493	18.57	18.647	18.723	18.8	18.877	18.953	19.03	19.107	19.183	19.26	19.337	19.413	19.49	19.567	19.643	19.72	19.797	19.873	19.95	20.027	20.103	20.18	20.257
85	cubicles	N8892822	N2137138	19.0	0.0714285714	42	cubicles N8892822	7.5	7.615	7.73	7.845	7.96	8.075	8.19	8.305	8.42	8.535	8.65	8.765	8.88	8.995	9.11	9.225	9.34	9.455	9.57	9.685	9.8	9.915	10.03	10.145	10.26	10.375	10.49	10.605	10.72	10.835	10.95	11.065	11.18	11.295	11.41	11.525	11.64	11.755	11.87	11.985	12.1	12.215	12.33	12.445	12.56	12.675	12.79	12.905	13.02	13.135	13.25	13.365	13.48	13.595	13.71	13.825	13.94	14.055	14.17	14.285	14.4	14.515	14.63	14.745	14.86	14.975	15.09	15.205	15.32	15.435	15.55	15.665	15.78	15.895	16.01	16.125	16.24	16.355	16.47	16.585	16.7	16.815	16.93	17.045	17.16	17.275	17.39	17.505	17.62	17.735	17.85	17.965	18.08	18.195	18.31	18.425	18.54	18.655	18.77	18.885
5	cubicles	N7210304	N8435133	10.652175	0.1507936508	126	cubicles N7210304	1.304	1.398	1.491	1.585	1.678	1.772	1.865	1.959	2.052	2.146	2.239	2.333	2.426	2.52	2.613	2.707	2.8	2.893	2.987	3.08	3.174	3.267	3.361	3.454	3.548	3.641	3.735	3.828	3.922	4.015	4.109	4.202	4.296	4.389	4.483	4.576	4.67	4.763	4.857	4.95	5.043	5.137	5.23	5.324	5.417	5.511	5.604	5.698	5.791	5.885	5.978	6.072	6.165	6.259	6.352	6.446	6.539	6.633	6.726	6.82	6.913	7.007	7.1	7.193	7.287	7.38	7.474	7.567	7.661	7.754	7.848	7.941	8.035	8.128	8.222	8.315	8.409	8.502	8.596	8.689	8.783	8.876	8.97	9.063	9.157	9.25	9.343	9.437	9.53	9.624	9.717	9.811	9.904	9.998	10.091	10.185	10.278	10.372	10.465	10.559
